Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.03435, 0, 1, 0, 1, 0, 0, 0, 1
0.03440, 0, 0, 1, 1, 0, 0, 1, 1
0.03465, 1, 0, 0, 1, 1, 0, 0, 1
0.03470, 0, 1, 1, 0, 0, 0, 1, 0
0.03475, 1, 0, 1, 0, 1, 0, 1, 0
0.03480, 0, 0, 0, 0, 0, 0, 0, 0
0.03520, 0, 1, 0, 0, 0, 0, 0, 0
0.03525, 1, 1, 1, 0, 1, 0, 1, 0
0.03530, 1, 1, 0, 1, 1, 0, 1, 1
0.03535, 0, 1, 0, 1, 0, 0, 0, 1
0.03540, 0, 0, 1, 1, 0, 0, 1, 1
0.03565, 0, 1, 0, 1, 0, 0, 0, 1
0.03570, 0, 1, 1, 0, 0, 0, 1, 0
0.03575, 0, 1, 1, 0, 1, 0, 0, 0
0.03580, 0, 0, 0, 0, 0, 0, 0, 0
0.03620, 0, 1, 0, 0, 0, 0, 0, 0
0.03625, 1, 0, 1, 0, 1, 0, 1, 0
0.03630, 0, 0, 0, 1, 0, 0, 0, 1
0.03635, 0, 1, 0, 1, 0, 0, 0, 1
0.03640, 0, 0, 1, 1, 0, 0, 1, 1
0.03665, 0, 1, 0, 1, 0, 0, 0, 1
0.03670, 1, 1, 1, 0, 1, 0, 1, 0
0.03675, 1, 1, 0, 0, 1, 0, 0, 0
0.03680, 1, 0, 0, 0, 1, 0, 0, 0
0.03685, 0, 0, 0, 0, 0, 0, 0, 0
0.03720, 0, 1, 0, 0, 1, 0, 0, 0
0.03725, 0, 1, 1, 0, 0, 0, 1, 0
0.03730, 0, 1, 1, 0, 0, 0, 0, 1
0.03735, 1, 1, 0, 1, 1, 0, 0, 1
0.03740, 0, 0, 1, 1, 0, 0, 1, 1
0.03770, 0, 1, 1, 0, 0, 0, 1, 0
0.03775, 1, 0, 0, 0, 1, 0, 0, 0
0.03780, 0, 0, 0, 0, 0, 0, 0, 0
0.03820, 0, 0, 1, 0, 0, 0, 1, 0
0.03830, 0, 1, 0, 1, 0, 0, 0, 1
0.03840, 0, 0, 1, 1, 0, 0, 1, 1
0.03865, 0, 1, 0, 1, 0, 0, 0, 1
0.03870, 1, 1, 1, 0, 1, 0, 1, 0
0.03875, 1, 1, 0, 0, 1, 0, 0, 0
0.03880, 0, 0, 0, 0, 0, 0, 0, 0
0.03920, 0, 1, 0, 0, 0, 0, 0, 0
0.03925, 0, 1, 1, 0, 0, 0, 1, 0
0.03930, 0, 0, 0, 1, 0, 0, 0, 1
0.03935, 0, 1, 0, 1, 0, 0, 0, 1
0.03940, 0, 0, 1, 1, 0, 0, 1, 1
0.03965, 1, 0, 0, 1, 1, 0, 0, 1
0.03970, 0, 1, 1, 0, 0, 0, 1, 0
0.03975, 0, 0, 1, 0, 0, 0, 1, 0
0.03980, 1, 0, 0, 0, 1, 0, 0, 0
0.03985, 0, 0, 0, 0, 0, 0, 0, 0
0.04020, 0, 1, 0, 0, 0, 0, 0, 0
0.04025, 0, 1, 1, 0, 0, 0, 1, 0
0.04030, 0, 1, 0, 1, 0, 0, 0, 1
0.04040, 0, 0, 1, 1, 0, 0, 1, 1
0.04065, 0, 1, 0, 1, 0, 0, 0, 1
0.04070, 1, 1, 1, 0, 1, 0, 1, 0
0.04075, 1, 1, 0, 0, 1, 0, 0, 0
0.04080, 0, 0, 0, 0, 0, 0, 0, 0
0.04120, 0, 1, 0, 0, 0, 0, 0, 0
0.04125, 0, 0, 1, 0, 0, 0, 1, 0
0.04130, 1, 1, 1, 1, 1, 0, 1, 1
0.04135, 1, 0, 0, 1, 1, 0, 0, 1
